,ID,Country,Affiliation or university,Academic discipline,Career stage / position,How did you find out about this workshop?,Attendance/participation type,Stream only or also exercise group? Video or in-person?,Which days you plan to attend?,Registration date,Registration state
0,60,Norway,NTNU,Civil Engineering,Graduate student,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-10 15:38:09.030857+00:00,Completed
1,65,Norway,University of Oslo,Basic Medicine,Postdoc,CodeRefinery.org,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-15 10:08:06.553226+00:00,Completed
2,92,Norway,NTNU,Other Engineering and Technologies,Graduate student,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-29 09:24:53.066089+00:00,Completed
3,232,Spain,UPC-BarcelonaTech,Other Engineering and Technologies,Graduate student,Educational institute,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6); Not sure I can attend, but please keep me informed",2022-09-19 16:21:43.487464+00:00,Completed
4,17,Sweden,Chalmers University of Technology,Mechanical Engineering,Researcher,CodeRefinery.org; Educational institute,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-04 08:57:15.110384+00:00,Completed
5,107,Norway,NTNU,Civil Engineering,Graduate student,Another event,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-31 14:47:06.446176+00:00,Completed
6,146,Sweden,SMHI,Computer and Information Sciences,Industry,Friend / Colleague,Learner,Only watching the stream,"Wed, Sep 21 (Day 2); Thu, Sep 29 (Day 6)",2022-09-09 17:45:28.774267+00:00,Completed
7,244,Norway,NTNU,Mechanical Engineering,Graduate student,Friend / Colleague,Observer,Only watching the stream,"Wed, Sep 21 (Day 2); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6); Not sure I can attend, but please keep me informed",2022-09-21 06:21:23.288064+00:00,Completed
8,224,Denmark,Aarhus University,Other Natural Sciences,Postdoc,Twitter,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-19 08:56:54.897573+00:00,Completed
9,196,Sweden,Swedish Meteorological and Hydrological Institute,Computer and Information Sciences,Other,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-16 08:17:54.789347+00:00,Completed
10,225,Denmark,Aarhus University,Computer and Information Sciences,Researcher,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-19 08:59:01.659681+00:00,Completed
11,151,Finland,University of Helsinki,Biological Sciences,Graduate student,Educational institute; Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-12 08:14:37.750717+00:00,Completed
12,249,Denmark,Aalborg University,"Electrical Engineering, Electronic Engineering, Information Engineering",Research software engineer,Friend / Colleague,Expert helper,Watching stream and participate in online exercise group (Code Refinery Zoom),"Thu, Sep 29 (Day 6)",2022-09-25 21:28:49.553534+00:00,Completed
13,37,Norway,Norwegian Meteorological Institute,Earth and Related Environmental Sciences,Graduate student,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6); Not sure I can attend, but please keep me informed",2022-07-07 12:03:37.863937+00:00,Completed
14,105,Finland,University of Oulu,Physical Sciences,Researcher,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-31 08:52:31.047881+00:00,Completed
