Timestamp,Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,Subscriptions,Clips Created,All Clip Views
9:35 AM,30,18,,,,,,1,
9:40 AM,18.2,10,,,,,,,
9:45 AM,35,48,,,,,,,
9:50 AM,84.8,50,,3,3,,,,
9:55 AM,114,53,,,,,,1,
10:00 AM,152.8,37,,,,,,,
10:05 AM,174.2,25,,,,,,,
10:10 AM,181.8,10,,,,,,,
10:15 AM,187.2,11,,,,,,,
10:20 AM,188,5,,,,,,,
10:25 AM,187.8,3,,,,,,,
10:30 AM,189.8,6,,,,,,1,
10:35 AM,192.8,6,,,,,,,
10:40 AM,192.8,5,,,,,,1,
10:45 AM,194.2,2,,,,,,,
10:50 AM,193,5,1,,,,,,
10:55 AM,190.8,6,,,,,,,
11:00 AM,192.8,5,,,,,,,
11:05 AM,179.2,8,,,,,,,
11:10 AM,178.4,13,1,,,,,1,
11:15 AM,184.4,8,,,,,,,
11:20 AM,180.6,3,,,,,,,
11:25 AM,177.6,4,,,,,,,
11:30 AM,177.6,5,,,,,,,
11:35 AM,177.2,6,,,,,,,
11:40 AM,179.6,5,,,,,,,
11:45 AM,177.6,3,,,,,,,
11:50 AM,181,7,,,,,,,
11:55 AM,189.4,16,,,,,,2,
12:00 PM,190.8,5,1,,,,,,
12:05 PM,188.4,2,,,,,,,
12:10 PM,183,7,,,,,,,
12:15 PM,183,6,,,,,,,
12:20 PM,184.8,6,,,,,,,
12:25 PM,185.2,2,,,,,,,
12:30 PM,183.6,4,,,,,,,
12:35 PM,180.2,5,,,,,,,
12:40 PM,171,3,,2,4,,,,
12:45 PM,169.6,2,,1,1,,,,
12:50 PM,166.8,1,,,,,,,
12:55 PM,168.4,6,,,,,,,
1:00 PM,169.4,4,,,,,,,
1:05 PM,168,9,1,,,,,,
1:10 PM,161.2,5,1,,,,,1,
1:15 PM,155.4,2,,,,,,,
1:20 PM,155.6,8,,,,,,,
1:25 PM,154.6,5,,,,,,,
1:30 PM,144,2,,,,,,,
